Comment,Designator,Footprint,LCSC Part #,Qty,MPN,Note
1uF/25V,C1,C_0603_1608Metric,C77046,1,Murata GRM188R61E105KA12,
10uF/25V,C2,C_0805_2012Metric,C84416,1,Murata GRM21BR61E106KA73,
10uF/10V,"C3,C4,C6,C8",C_0805_2012Metric,C77073,4,Murata GRM21BR61A106KE19,
1uF,C5,C_0603_1608Metric,C86012,1,Murata GRM188R61A105KA61,
100nF,"C10,C11,C12,C13,C7,C9",C_0402_1005Metric,C71629,6,Murata GRM155R71C104KA88,
RED,D1,LED_0603_1608Metric,C157741,1,Lite-On LTST-C193KRKT-5A,
BLUE,D2,LED_0603_1608Metric,C125103,1,Lite-On LTST-C193TBKT-5A,
B5819WS,D3,D_SOD-323,C78734,1,Vishay B5819WS-TP,
USB4105-GF-A,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3020560,1,GCT USB4105-GF-A,
BATT,J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403,1,JST SM03B-SRSS-TB,
MOTOR,J3,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,C160402,1,JST SM02B-SRSS-TB,
SPH0641LU4H-1,"MK1,MK2",Knowles_LGA-5_3.5x2.65mm,C2879853,2,Knowles SPH0641LU4H-1,
2N7002,Q1,SOT-23,C12779,1,onsemi 2N7002LT1G,
5.1k,"R1,R2",R_0402_1005Metric,C105872,2,Yageo RC0402FR-075K1L,
470R,R10,R_0402_1005Metric,C114877,1,Yageo RC0402FR-07470RL,
220R,R11,R_0402_1005Metric,C112291,1,Yageo RC0402FR-07220RL,
100R,R12,R_0402_1005Metric,C106232,1,Yageo RC0402FR-07100RL,
1M,"R14,R15",R_0402_1005Metric,C138033,2,Yageo RC0402FR-071ML,
11k,R3,R_0402_1005Metric,C138063,1,Yageo RC0402FR-0711KL,
3.0k,R4,R_0402_1005Metric,C137987,1,Yageo RC0402FR-073KL,
100k,"R13,R5,R6",R_0402_1005Metric,C60491,3,Yageo RC0402FR-07100KL,
10k,R7,R_0402_1005Metric,C60490,1,Yageo RC0402FR-0710KL,
4.7k,"R8,R9",R_0402_1005Metric,C105871,2,Yageo RC0402FR-074K7L,
EVQ-P7C01P,SW1,SW_SPST_EVQP7C,C388883,1,Panasonic EVQ-P7C01P,
MDBT50Q-1MV2,U1,Raytac_MDBT50Q,,1,Raytac MDBT50Q-1MV2,"Customer-supplied (Raytac MDBT50Q-1MV2, 25 pcs on TME order 35388887) - do not place if not consigned"
BQ24075RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,1,TI BQ24075RGTR,
AP2112K-3.3,U3,SOT-23-5,C51118,1,Diodes AP2112K-3.3TRG1,
USBLC6-2SC6,U4,SOT-23-6,C2687116,1,ST USBLC6-2SC6,
MX25L25645GMI-08G,U5,SOIC-8_5.3x5.3mm_P1.27mm,C526821,1,Macronix MX25L25645GMI-08G,
LIS2DHTR,U6,LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,C155670,1,ST LIS2DHTR,
