Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C6,10uF/10V,C_0805_2012Metric,33.000000mm,-3.500000mm,0.000000,Bottom
C7,100nF,C_0402_1005Metric,33.000000mm,-14.000000mm,0.000000,Bottom
C8,10uF/10V,C_0805_2012Metric,26.500000mm,-13.500000mm,0.000000,Bottom
C9,100nF,C_0402_1005Metric,19.700000mm,-15.600000mm,0.000000,Bottom
C10,100nF,C_0402_1005Metric,23.400000mm,-15.600000mm,0.000000,Bottom
C11,100nF,C_0402_1005Metric,29.200000mm,-4.500000mm,0.000000,Bottom
C12,100nF,C_0402_1005Metric,23.600000mm,-5.400000mm,0.000000,Bottom
C13,100nF,C_0402_1005Metric,7.000000mm,-15.500000mm,90.000000,Bottom
D3,B5819WS,D_SOD-323,20.500000mm,-13.500000mm,0.000000,Bottom
J2,BATT,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,11.300000mm,-7.500000mm,-90.000000,Bottom
J3,MOTOR,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,12.000000mm,-14.900000mm,180.000000,Bottom
Q1,2N7002,SOT-23,17.500000mm,-9.500000mm,0.000000,Bottom
R8,4.7k,R_0402_1005Metric,21.500000mm,-6.500000mm,0.000000,Bottom
R9,4.7k,R_0402_1005Metric,21.500000mm,-11.500000mm,0.000000,Bottom
R12,100R,R_0402_1005Metric,15.600000mm,-6.800000mm,0.000000,Bottom
R13,100k,R_0402_1005Metric,16.500000mm,-13.500000mm,0.000000,Bottom
R14,1M,R_0402_1005Metric,4.500000mm,-14.500000mm,0.000000,Bottom
R15,1M,R_0402_1005Metric,4.500000mm,-16.300000mm,0.000000,Bottom
U5,MX25L25645GMI-08G,SOIC-8_5.3x5.3mm_P1.27mm,28.500000mm,-9.000000mm,0.000000,Bottom
U6,LIS2DH12TR,LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,22.200000mm,-9.000000mm,0.000000,Bottom
C1,1uF/25V,C_0603_1608Metric,11.800000mm,-2.200000mm,0.000000,Top
C2,10uF/25V,C_0805_2012Metric,19.000000mm,-8.500000mm,0.000000,Top
C3,10uF/10V,C_0805_2012Metric,10.500000mm,-13.200000mm,90.000000,Top
C4,10uF/10V,C_0805_2012Metric,23.000000mm,-8.500000mm,0.000000,Top
C5,1uF,C_0603_1608Metric,21.600000mm,-2.200000mm,0.000000,Top
D1,RED,LED_0603_1608Metric,20.000000mm,-10.400000mm,0.000000,Top
D2,BLUE,LED_0603_1608Metric,20.000000mm,-12.600000mm,0.000000,Top
J1,USB4105-GF-A,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,4.700000mm,-9.000000mm,90.000000,Top
MK1,SPH0641LU4H-1,Knowles_LGA-5_3.5x2.65mm,19.700000mm,-15.600000mm,0.000000,Top
MK2,SPH0641LU4H-1,Knowles_LGA-5_3.5x2.65mm,23.400000mm,-15.600000mm,0.000000,Top
R1,5.1k,R_0402_1005Metric,9.300000mm,-2.000000mm,0.000000,Top
R2,5.1k,R_0402_1005Metric,9.300000mm,-16.000000mm,0.000000,Top
R3,11k,R_0402_1005Metric,14.600000mm,-2.200000mm,0.000000,Top
R4,3.0k,R_0402_1005Metric,16.800000mm,-2.200000mm,0.000000,Top
R5,100k,R_0402_1005Metric,19.000000mm,-2.200000mm,0.000000,Top
R6,100k,R_0402_1005Metric,18.500000mm,-5.500000mm,90.000000,Top
R7,10k,R_0402_1005Metric,10.500000mm,-4.000000mm,0.000000,Top
R10,470R,R_0402_1005Metric,17.400000mm,-10.400000mm,0.000000,Top
R11,220R,R_0402_1005Metric,17.400000mm,-12.600000mm,0.000000,Top
SW1,EVQ-P7C01P,SW_SPST_EVQP7C,15.100000mm,-15.400000mm,0.000000,Top
U1,MDBT50Q-1MV2,Raytac_MDBT50Q,33.500000mm,-9.000000mm,-90.000000,Top
U2,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,14.500000mm,-5.500000mm,0.000000,Top
U3,AP2112K-3.3,SOT-23-5,23.200000mm,-5.300000mm,90.000000,Top
U4,USBLC6-2SC6,SOT-23-6,11.200000mm,-9.500000mm,0.000000,Top
